,ECON101_grade,ENGLISH125_grade,DATASCI306_grade,MATH217_grade,STATS250_grade,EECS545_grade
796,C-,A+,,B-,B,A
797,C+,A-,,A,B+,A
798,C+,A,,A,C+,B+
799,A-,A,,A+,B-,A
800,B+,A,,B,C,B+
801,C,A,,C,B,A+
802,B+,A,,C+,D,A-
803,C,A,,A-,A-,A
804,C-,B,,B,B+,A-
805,C,A,,A-,D+,A
806,B+,A,,A,B,A-
807,A-,A,,C-,C-,B+
808,B+,B+,,A-,C,B+
809,C,D,,A-,A-,A-
810,A,A+,,A,A-,A-
811,A-,B,,B,A-,B
812,B-,A,,C+,A-,A-
813,A-,A-,,A,A,B
814,C+,A,,A-,B,A-
815,C+,A,,A,C-,A
816,A+,A,,B,A-,B
817,B-,A-,,C,B+,B+
818,B+,A,,A,B,A-
819,A+,A-,,B-,B+,A
820,D+,A,,A,A-,A-
821,A,B+,,A+,A,A-
822,C-,A,,A-,A,A-
823,B+,A,,A+,A-,A
824,C-,A+,,A-,A,A
825,A+,A,,B,A+,B+
826,B+,A-,,A,B,B+
827,A-,A,,E,A-,B
828,B,A,,A-,B+,B
829,A-,A,,B,A-,A
830,A-,A,,E,A,A-
831,A,A,,B+,C-,B+
832,C-,A-,,B+,A,A
833,D,A-,,C+,A-,A
834,A-,A-,,C-,B-,A
835,A,A,,B+,B-,B+
836,A-,B+,,C+,C+,A
837,A+,B,,A+,C+,A-
838,A,A,,C+,A-,B
839,B+,A,,B+,D,A-
840,A+,B,,B-,C+,A
841,A+,A,,B,B,A
842,A-,A,,B,A,A
843,C+,A,,A+,B-,A
844,A-,A,,A-,C+,A
845,C+,A,,C-,A,A
846,A-,A-,,C-,C-,A-
847,A+,A,,A,C+,A
848,B+,A,,C+,B,A
849,C+,A,,A+,B-,A-
850,B,A-,,C,B-,A+
851,A-,B+,,A-,C-,B+
852,B-,A-,,B,B,A
853,B+,B,,B,A-,A
854,C+,B+,,A+,B+,B+
855,A-,A,,B+,B-,A-
856,A,C+,,A,B+,A+
857,A+,A,,C,A-,A-
858,C+,A,,A-,A-,A-
859,A+,A,,E,B,A
860,A-,A-,,A,C+,A-
861,A+,A-,,B-,C-,B+
862,B,B+,,B+,B+,A
863,A,B+,,C+,A-,A
864,A,B+,,B-,B+,A
865,B-,A+,,B+,A+,A-
866,A-,A,,A,B+,B
867,B+,A,,E,B+,A
868,B+,A,,A,C-,B+
869,A-,B,,B+,A-,B
870,C-,A,,C,C+,B+
871,B,A,,B-,B,A+
872,A+,A,,A,D+,A-
873,D,A,,A,A,A-
874,B+,A,,A+,B,A-
875,A+,A,,C,B,A-
876,B,A,,B+,A-,B
877,B,A+,,B+,A+,B+
878,A,D,,A+,A-,B+
879,A+,A,,A,B-,A+
880,C,A,,C,A,A
881,A+,B+,,A,D,B+
882,B,A-,,A,A-,B+
883,B-,C+,,A+,A,A
884,A-,A,,B-,B,A
885,B-,A,,E,B-,A
886,C+,A,,A,A+,A
887,C,A,,A-,B,A
888,A+,A,,A-,C,A+
889,C,B-,,C,A+,A-
890,C,A-,,B,A-,A-
891,B+,A-,,A,B+,A-
892,C+,A,,A,A,A-
893,A-,A,,B,A,E
894,B,A,,B-,B,A+
895,A,A,,B+,A,A+
896,A-,C+,,A-,C+,A+
897,B,A,,C+,A+,A
898,A-,A,,E,C,A-
899,B-,A+,,D,B-,A
900,B-,B+,,B,B,B+
901,C+,A-,,A+,E,A-
902,A-,B+,,D-,A,A
903,C,B+,,B-,C+,B
904,A-,A,,C+,A-,A
905,A-,A,,A,A+,A
906,C,A,,D-,B-,A-
907,A-,A-,,B,D-,A-
908,A,A-,,B+,A-,A+
909,C+,A,,C+,B,A+
910,C+,A,,B,C+,B+
911,C+,C+,,B,B+,A
912,C+,B+,,B+,D-,A
913,E,A,,B+,A,A
914,A-,A-,,A-,B-,A-
915,B,A-,,A,B,B+
916,A-,B+,,B-,D-,A-
917,A,A,,B,C+,A
918,B-,A-,,B,C,A-
919,B,A,,A-,C,B+
920,B+,A,,C+,A-,A
921,C+,A-,,C-,A,A
922,A,A,,B,A,A-
923,B+,A-,,A-,C+,A
924,B-,A-,,B,B,B+
925,A-,B+,,B+,A+,A-
926,A-,B,,A+,C+,A
927,C+,A+,,A+,A-,A
928,A-,C,,A-,B,A
929,A-,B+,,A-,C-,A-
930,B-,A,,C,B-,A
931,B-,A,,C+,C+,B-
932,A-,B+,,A-,A-,A-
933,A-,A,,A+,C+,B
934,A,A,,A,A-,A
935,B-,A-,,C+,B+,B+
936,B-,A-,,C-,A-,A-
937,A,B,,A-,B,A
938,B,A-,,B,A+,B
939,B-,A,,B+,B-,A-
940,D+,A,,A,A,B-
941,A,B,,D-,B,A-
942,B,A,,B-,C-,A
943,A-,A-,,A,A-,A
944,B+,A,,A-,A,B
945,B,B+,,B+,A-,B-
946,B-,A-,,C+,B-,A-
947,A-,B,,A-,A-,A-
948,B+,B,,B,A-,A+
949,B-,B+,,A-,B+,A-
950,A-,A,,B,A-,B+
951,B+,B+,,A,B-,A-
952,C+,B,,C,C+,B+
953,A,A,,A-,B,A-
954,B-,B+,,C,B+,A
955,B+,B+,,C-,B+,B+
956,C,B-,,B-,A-,B+
957,A-,B+,,A,B,B-
958,C+,A,,B-,C,A-
959,C,A,,C+,C,B+
960,C+,A,,B,C+,B+
961,B,A-,,B+,B,E
962,C,A,,A-,B-,B+
963,B,A+,,A+,B,B+
964,A+,A,,A,C,A-
965,A-,A-,,B,B+,A
966,A+,E,,C-,C,A-
967,B+,A,,B,A-,A-
968,A+,A-,,A,C-,B+
969,A+,A,,A-,B-,A-
970,B,A-,,B-,C,A
971,C,A,,E,A,A-
972,C,B-,,C+,B,A-
973,A-,A-,,A,A+,A-
974,C,A,,A,C,A
975,A-,A,,A+,B,B+
976,A,A-,,B,A-,B+
977,A,A-,,B+,B-,B
978,A-,A,,D,C+,A-
979,A,B+,,B-,A,B
980,B-,A+,,A-,A-,B
981,B+,A,,B-,A-,A
982,B,B,,A,B,A-
983,B,A,,A,B,A
984,B,A,,C-,B+,A
985,A,C+,,A-,B,B+
986,B,A,,A,A-,A
987,B+,B,,E,C,B+
988,B+,A,,A,B,A
989,E,A,,A+,C+,A
990,B,B,,C,B+,B
991,A,B,,C-,B-,A
992,A-,A-,,C+,A,B+
993,A,A,,E,A,A-
994,A-,C,,C+,B-,B+
995,A,A,,A,B-,A
996,A+,A-,,A-,A,A
997,B,A,,B-,C,A-
998,B+,B+,,A,A-,A-
999,B-,B-,,B+,C+,A-
1000,A,A,,C,A-,A
1001,C+,A,,C+,B+,A+
1002,B+,A-,,B-,B-,A-
1003,C-,A,,B-,A,B+
1004,A+,B+,,C,C-,A
1005,B,A-,,A,A-,A
1006,B,A,,C,A-,A
1007,B-,B+,,B,B+,A-
1008,A+,A-,,C-,B-,B+
1009,C,B+,,A,B-,A
1010,B+,A,,D,D+,B+
1011,C-,A+,,C,D-,A-
1012,C,B,,A-,B,B
1013,A+,A,,D-,A,A
1014,C,A,,A,B,A-
1015,C,A-,,A+,B+,A
1016,A,A-,,C,A-,A-
1017,B,A-,,B,A-,A+
1018,B,A-,,B-,A-,B+
1019,B-,A,,A+,B+,A-
1020,C,B,,B-,A-,A-
1021,A,B+,,A+,B+,A+
1022,B-,A,,A,A+,A-
1023,B,A-,,B-,A+,B+
1024,C,A-,,B,B,B+
1025,A+,A,,C+,A,B
1026,A,B+,,C+,B,A
1027,B,A,,C+,B+,B
1028,C,A+,,A+,A-,A-
1029,B+,A,,A-,B-,A+
1030,A-,A,,C+,A+,A
1031,A-,E,,B-,B+,B+
1032,B,A+,,A-,B+,B+
1033,A-,A,,B-,B-,B+
1034,B-,A,,C+,B,B+
1035,B+,B,,B-,B+,A
1036,E,A,,B,D,A-
1037,A-,A,,B,A+,A
1038,B+,A,,A,A,A
1039,A,B+,,B,A-,A-
1040,A+,A,,C+,A-,B+
1041,B,B+,,,C+,A
1042,B-,B+,,B-,B+,B
1043,B,B+,,B-,B,A
1044,A,A-,,B+,D-,C+
1045,C+,A+,,B+,C+,A+
1046,A,A,,A,A-,B
1047,A-,B+,,A,A,A
1048,A,A-,,B+,B,A
1049,B-,A,,A+,B+,A
1050,A,A-,,D,A-,A
1051,B+,A,,D,B-,A
1052,C+,A,,E,A,A
1053,B+,A,,B+,A,A
1054,B,A,,A-,B-,A-
1055,A,A,,B-,B,A
1056,B+,B,,A,B-,A-
1057,B,A,,B,A-,B+
1058,B,B,,B+,A,A+
1059,B-,A,,A,A,A-
1060,B+,A+,,C,D+,A
1061,B-,A,,B,B+,A
1062,A-,A,,A,B+,B
1063,B-,B,,A+,A-,A-
1064,A,A,,A,B,A-
1065,C,A+,,A,B+,A-
1066,B,A,,A-,E,B
1067,B,C-,,B-,B,A-
1068,C+,A+,,B,C,A
1069,C,A,,A-,B-,A-
1070,A,A-,,A-,C+,A
1071,C+,A,,B-,A,B+
1072,B-,A,,C+,A-,A
1073,A,A,,B-,C,A
1074,A-,A+,,E,A,A-
1075,B,A-,,A+,C-,B+
1076,A,B+,,B+,A-,A+
1077,B+,A-,,A,A,A-
1078,D+,B+,,B+,C-,B+
1079,C,A-,,A,A-,A-
1080,B+,A-,,A,A+,A
1081,A,B+,,A-,E,A-
1082,B+,A-,,B+,B+,A
1083,B,A,,A+,A-,A-
1084,B,A,,B+,A,B-
1085,B+,A,,A-,A+,A-
1086,B,A,,C,A,A
1087,B+,B+,,C,C+,A-
1088,B+,A,,A,A-,A-
1089,A-,B+,,A,E,B+
1090,A-,B+,,B+,B-,A-
1091,A-,A,,A,A-,A
1092,A-,A,,B+,B,A-
1093,A,A,,B,C+,B+
1094,A-,A+,,A+,B+,A-
1095,A,A,,B-,B,B+
1096,A,A+,,B-,B,A-
1097,A,A-,,A,C+,B
1098,A,A,,B,C,A-
1099,C+,A,,A,A,A
1100,A,A+,,A,D,A
1101,B,A-,,B,A,A
1102,C,B+,,B-,C+,A-
1103,A-,A-,,C+,B,B+
1104,A+,A,,A,B,A
1105,B-,B+,,B+,E,A
1106,C+,A,,C+,A+,A-
1107,A,B+,,C,A+,A
1108,B+,A,,D-,B-,A
1109,A-,A-,,A-,C,A+
1110,B-,A-,,C,E,A
1111,B,A-,,C,A+,A-
1112,A+,A,,A+,D+,B+
1113,A-,A-,,C,B,A+
1114,B+,A,,B-,B+,B
1115,A,A,,A,C+,A
1116,B,A-,,D-,A,B+
1117,A-,B-,,A,A,A
1118,B,A,,B,B+,A
1119,A-,A+,,B,B,A+
1120,C,A-,,B,A-,A-
1121,A-,A+,,B-,B,A
1122,A+,B+,,B+,B-,B
1123,A,A-,,B,A-,A-
1124,B-,A-,,B,B,A
1125,B,A,,B+,C+,B+
1126,B,B+,,A-,A+,A
1127,B,A,,B,A,A-
1128,A-,A,,C-,C,A-
1129,A,A+,,A,B-,A
1130,D,A,,A+,A,B+
1131,A,A,,B+,E,A
1132,A-,A,,B,A-,A
1133,B+,A-,,A-,B+,B+
1134,E,A-,,A,D-,A-
1135,B-,B,,E,B-,A
1136,A,A-,,C+,B+,B+
1137,A+,A-,,A,C+,A+
1138,A+,A,,C,A-,B+
1139,A+,A,,B-,A-,B+
1140,A-,B+,,A,D,B+
1141,A-,A,,B-,A-,A-
1142,D-,A,,B,C+,B
1143,A+,A+,,A-,A,B+
1144,C-,A-,,A,A+,A
1145,A-,A,,E,A+,B
1146,A,B-,,B,B+,A-
1147,A,A,,A,B-,A
1148,A,A,,D,C+,A-
1149,C+,A,,B,E,B
1150,A-,A,,B,C-,A-
1151,B,B+,,C+,C,A
1152,C+,A-,,B+,C+,B
1153,B-,A,,B,A,A-
1154,A+,A-,,B-,C+,A+
1155,C+,A-,,B-,B+,A+
1156,C-,A-,,B-,C+,B
1157,B,A,,E,A-,A
1158,C+,A,,A,B-,A-
1159,A,B,,C,A,B+
1160,A,A+,,E,A-,B+
1161,B,A-,,A+,A,A-
1162,A-,A,,A+,B,A-
1163,B+,B,,B,B,A-
1164,A,A,,A,B,A
1165,B,A-,,B+,B,A
1166,C-,A,,B+,C-,A
1167,B+,B,,A,C+,A
1168,A,B+,,C,B,B+
1169,C,A,,A+,B,A-
1170,A+,A-,,C,B,A-
1171,A-,A,,C,A-,B
1172,B+,A,,B-,A-,A
1173,B+,C,,A+,A,A
1174,B+,A,,C-,B,A
1175,C,A-,,A-,E,A-
1176,D,C,,B+,B,B+
1177,B,B+,,A-,B,B+
1178,A-,B+,,A-,B+,A
1179,A,A-,,B-,A-,B
1180,E,A-,,A-,B+,B
1181,A+,A,,A+,A-,A
1182,A-,B-,,A,A-,B+
1183,A-,A-,,C-,C-,A-
1184,B,A-,,A,B,A
1185,A+,A,,C+,B,B+
1186,B-,A,,C,B+,A
1187,B+,A,,B,A-,B
1188,B,A,,A-,A,A+
1189,B,A,,A,A+,A-
1190,C+,A,,C,C+,B+
1191,A+,A-,,A-,A-,A
1192,B,A,,B+,B+,A-
1193,A-,A,,B+,B,A
1194,A+,A-,,C+,B+,B
1195,C+,A,,C+,A-,A+
1196,B,A,,B+,A+,A
1197,D,A-,,A,C,B+
1198,A-,A-,,C,C,A
1199,A-,B+,,C,A+,B+
1200,A-,A-,,A-,A,B
1201,B+,A-,,C+,C+,A-
1202,B,A-,,A,C+,A-
1203,C,B-,,B-,A-,A-
1204,B+,A,,B-,A-,B
1205,A+,B,,B,A,A-
1206,B,A-,,A+,A-,B+
1207,A,A,,A-,C+,A-
1208,A-,B,,A+,E,A
1209,B-,A+,,C-,B+,B
1210,C-,B+,,B,E,A-
1211,A-,A,,B+,B,B
1212,A,A-,,A,A-,A+
1213,A,A+,,A+,B-,A
1214,B,A,,C,C-,A
1215,A,D+,,A,B-,A-
1216,B,C,,A-,A,A-
1217,A,B+,,A-,B,A-
1218,B-,A-,,C,C-,B+
1219,A+,A,,B+,B+,A
1220,B,A-,,A,B-,A-
1221,C+,A+,,B-,B-,B+
1222,C-,A,,A-,A,B
1223,A-,A,,B,C+,A-
1224,B+,B+,,B+,A-,B
1225,A+,A-,,A,B,B
1226,A,A-,,B-,A-,A-
1227,B,A,,D-,B,B+
1228,A+,A+,,B-,B+,A+
1229,C+,A,,B-,A,A-
1230,B+,A,,C-,D-,A-
1231,B+,A,,B,A,A
1232,C+,A-,,A,A,A
1233,A-,A,,B,A-,A
1234,A-,A,,A-,A+,A-
1235,C,A,,E,C,A
1236,B+,A-,,A,D,A
1237,B+,A-,,C,C,A
1238,B+,B+,,C,B,A
1239,B+,A-,,C+,B,A+
1240,B-,B+,,B,B,A-
1241,A-,B-,,A+,B+,A
1242,A,A,,A,A,A
1243,B,A,,A-,C,A-
1244,B+,A+,,B-,A-,A
1245,A-,A,,B+,A-,B+
1246,A,A,,A-,B+,B
1247,A-,A-,,B+,C+,A
1248,A,A-,,D,A,A
1249,B+,A-,,B+,B-,C+
1250,B+,A,,B,A-,A
1251,A,A-,,B+,B+,A
1252,B,B,,A+,A,B
1253,C,A+,,A,A,A
1254,A,A-,,A-,B+,A-
1255,B,B,,A-,B+,A-
1256,A+,B,,A+,B-,B+
1257,D+,A+,,A,A-,A-
1258,B+,A,,A,C-,A-
1259,B+,A,,A,B-,A-
1260,C,A-,,A,B-,B+
1261,C-,A,,C,C+,A+
1262,B-,A,,B-,A+,A
1263,C,A-,,B-,A-,A
1264,A-,B+,,B+,A+,A-
1265,A-,B+,,C,B-,B+
1266,C-,A,,B,A-,A+
1267,A,A-,,A,B,A-
1268,A,A,,C,B-,A
1269,B-,B+,,A-,D+,A
1270,A-,A,,A-,B-,A
1271,B+,B+,,C,B+,A
1272,A-,A,,B,B,A
1273,A,A,,B,B+,A
1274,B-,A,,B,E,A
1275,B+,A,,C+,A-,A
1276,B+,A-,,A,B+,B
1277,B,B,,C-,B,A
1278,C+,B,,A,B-,A
1279,B+,B+,,B,C-,B
1280,B,A+,,B+,C+,A+
1281,B-,B+,,A,B+,B+
1282,B,A,,D,B-,A
1283,C+,B+,,C,C,A
1284,D+,A-,,B,B-,B+
1285,C+,A-,,B,B-,A-
1286,A-,B,,C+,A-,A-
1287,B-,A,,A+,A-,A
1288,B+,A-,,A,B+,B
1289,B,A,,C,A,A-
1290,B+,A,,E,A-,A
1291,B,A,,B,A-,A-
1292,C,B,,B,B+,B+
1293,C,A-,,A+,A,B
1294,B-,A,,A-,B-,B
1295,A-,B-,,C,A-,A-
1296,B,B+,,A-,C+,B+
1297,A-,A+,,E,A-,A-
1298,B+,A-,,A+,B,A-
1299,E,A,,C,B+,A
1300,A-,B+,,B,B-,A
1301,A,A-,,B,B+,B
1302,B,A-,,A+,B-,A
1303,C-,A-,,C+,A+,A-
1304,B+,A,,A+,A-,B+
1305,A,A-,,B,B-,A+
1306,B,A+,,C,B,B+
1307,A+,A,,C-,D,B
1308,A-,A-,,A,B+,B+
1309,B+,A,,A,B,B+
1310,A,B+,,A-,A,B
1311,A+,B+,,A+,B+,A
1312,C+,A-,,C+,A,A
1313,C+,D,,A,A-,A-
1314,B+,A,,D,B-,A-
1315,C,A,,C+,A,A+
1316,B,A,,E,A-,A-
1317,C+,B,,A,A+,A-
1318,B,A,,B+,A,A+
1319,A-,A,,A,B,A-
1320,C-,B,,A,A,A
1321,A,A,,C,A-,B
1322,B,A-,,C-,B+,A-
1323,A-,A-,,A,A,B+
1324,A-,B-,,A,A,A
1325,A,A,,B+,A-,A-
1326,B,A,,B+,C+,A
1327,A+,A,,B,C,B-
1328,A,A,,B,C+,A-
1329,C+,B+,,C+,A,B+
1330,A+,A,,C,A,A
1331,A,A,,A-,A-,B
1332,A-,A,,A,B,A
1333,B+,A,,C,B,A
1334,B,C+,,C-,A-,B+
1335,B-,A,,B,C,B+
1336,B-,B,,A,C-,A-
1337,A-,A-,,B+,C,A
1338,C+,A,,B-,A-,A-
1339,A,A-,,B+,C+,A+
1340,B,A,,E,A+,B+
1341,B+,B,,A,D,A-
1342,B+,B,,A-,B-,A
1343,B,A,,C+,C+,A
1344,A-,A,,A+,B-,A-
1345,A-,A-,,A,A-,A-
1346,D+,B,,C+,C+,A-
1347,B,A,,C,B+,A+
1348,B,A,,A,A,A-
1349,B,A-,,A,C+,A-
1350,A,B+,,E,B+,B+
1351,C+,B+,,A+,A,A
1352,A+,A-,,A,A+,A-
1353,A-,A,,B+,C+,B+
1354,B+,A,,B,C+,A
1355,B+,A-,,B-,A-,A
1356,A,A-,,B,B+,A
1357,B+,A,,B-,D,A-
1358,C+,A,,B-,D+,B
1359,B,A,,A,A-,B+
1360,B+,A+,,B-,C,A-
1361,A+,C+,,A+,B,A-
1362,B,B+,,C+,A,A-
1363,B+,A,,A-,A+,A-
1364,B+,A,,C,E,B+
1365,C-,A,,A,B,B
1366,A,A,,B+,D+,B+
1367,A-,B+,,B+,A,A
1368,B,A+,,A-,A-,A
1369,B,A-,,A+,A,A
1370,A+,A,,B,A-,A-
1371,A-,A+,,A+,B+,B+
1372,A-,A,,A,C+,B+
1373,B-,B-,,A-,B+,A+
1374,B+,A-,,A-,E,A-
1375,B+,B+,,A,C-,B+
1376,B,A-,,B,B-,A
1377,C,A,,B+,A+,A
1378,B+,B+,,A+,B+,A
1379,A+,A-,,B,B,A+
1380,C,A-,,A,B+,A
1381,B,A+,,A,A-,A
1382,A,A,,C+,B-,B+
1383,B,A,,B,B,B
1384,B,A+,,C,C+,B
1385,A-,A,,A,D,B+
1386,A-,A,,C+,A,C
1387,A,A,,B+,C-,A
1388,B,A,,B,B,A-
1389,A,A,,C,C,A
1390,B-,A,,A,C-,A
1391,B,A,,B,C,A-
1392,C+,B-,,C+,E,B+
1393,A-,A-,,D-,A-,A-
1394,A,A,,C-,B+,A
1395,B,A,,E,B+,A-
1396,A,B,,D-,B+,B
1397,B+,A,,C,A,A-
1398,B-,A,,A+,B,A-
1399,A+,A,,B+,A-,A-
1400,B+,A-,,A,B,B+
1401,C+,A-,,B,A,B+
1402,A+,A+,,C,B-,C+
1403,A,A-,,A-,E,A-
1404,B,A,,B-,B-,B+
1405,B,B,,A-,A,B+
1406,C-,A,,B+,B+,A
1407,B,A-,,B,B,A
1408,C-,A,,A-,B,A
1409,B+,B+,,B+,B,A-
1410,B+,B+,,C+,B+,A-
1411,B,A,,A+,C+,B+
1412,C,B+,,B,B+,A
1413,B+,A,,B+,A-,B+
1414,C+,A,,B,A,B+
1415,B-,A,,C+,B,A
1416,C+,B+,,B,C+,A-
1417,A,B,,A+,A+,B+
1418,A-,A-,,B+,B-,A-
1419,B+,A,,B-,B+,B+
1420,C+,A,,B,A,B+
1421,C-,A,,C+,C+,B+
1422,B,A,,C+,A-,B+
1423,B+,A-,,B,B+,A
1424,B,A,,A,A,B+
1425,A,A,,B-,C,B
1426,B,A,,A-,A+,A-
1427,B,A,,A-,C+,A-
1428,B,A,,C-,A,A-
1429,B+,A,,E,A-,A-
1430,B+,A,,A,A-,A
1431,A+,A,,A,E,A-
1432,C,B,,C+,B-,B+
1433,D,A,,A,A-,B+
1434,A-,B+,,B+,A-,A-
1435,A+,A,,C,B,A-
1436,B+,B,,B-,B,A
1437,A+,A-,,B,B,B+
1438,B+,A,,B+,A-,A-
1439,B,B+,,A,B,B
1440,B,A,,A,A,B
1441,A-,A+,,B+,B+,A
1442,B-,A,,A-,C,A-
1443,A,A,,A,A,A-
1444,B-,A-,,C+,A+,A-
1445,B+,A-,,B,A-,B
1446,A-,B+,,E,A-,A-
1447,A-,A,,C,A,A-
1448,C+,B-,,C,B,A-
1449,B+,A,,C,A-,B+
1450,B-,A,,A,A-,A-
1451,C+,A,,C+,C,B
1452,A-,A,,C-,D,A+
1453,A,B,,A-,E,A-
1454,A,A,,B-,B-,B+
1455,A,A-,,C-,A,B+
1456,A,B-,,B,B,B
1457,A-,B,,B+,A,A
1458,A-,A-,,B,B+,A+
1459,B,A,,C,B-,A-
1460,B-,A,,C-,A,A
1461,A,B+,,C,A,A
1462,C+,B+,,E,A,A
1463,A-,A,,A,C+,A+
1464,A,B+,,B,A,B+
1465,A,A,,A,B-,B+
1466,A,A,,C+,A,B+
1467,A,B,,A,C-,A
1468,B-,C+,,B,A-,B+
1469,A,A,,A,B,A
1470,A-,A,,A,B,B+
1471,A,A,,B-,B-,A-
1472,A-,B,,B,D+,B+
1473,B+,A,,A+,C+,A
1474,C+,B,,A-,A-,A+
1475,C+,A,,A,A,A+
1476,A-,A,,C,A-,A
1477,A,A,,B-,C,A
1478,A,B,,A-,B,A-
1479,D,A,,A,A-,A
1480,A,A,,A-,B-,A+
1481,A,A-,,E,C+,A
1482,B,B,,B,B+,B+
1483,A,B+,,A-,C-,A
1484,B-,A,,B,B-,A
1485,A,B+,,A+,C-,A
1486,A+,A-,,A-,A,B
1487,A-,A-,,A+,C,B+
1488,B,A-,,A-,D+,B
1489,B,A-,,A+,C+,A-
1490,A,B,,A,B+,B-
1491,A-,A-,,E,A,B+
1492,B-,A-,,A,A+,B
1493,A-,A+,,A+,A-,A
1494,E,A+,,A,A-,A
1495,C+,A,,A,C-,A
1496,B,B,,B,A-,B
1497,B+,A-,,B+,A-,B+
1498,A,B,,B,B,A
1499,B,A-,,A+,B,A-
1500,B,B+,,B-,A,B+
1501,A-,A+,,C+,B,A
1502,A-,A-,,C-,B,A-
1503,B,A,,A,B+,B+
1504,B-,A-,,A-,C,A
1505,D+,B,,A+,A-,A-
1506,A,A+,,A,C+,A
1507,B,A,,B+,C-,A
1508,A-,A,,A+,A+,B
1509,A-,A-,,B+,D+,A-
1510,B-,A-,,A,A-,A-
1511,B+,B-,,B+,E,A-
1512,C+,B,,A,B,A-
1513,A-,E,,A+,B+,A-
1514,A-,A+,,B,B-,A-
1515,A,B+,,D,B,A
1516,A-,A,,A,A-,B+
1517,B,A,,B+,D-,A-
1518,B-,A,,C,C+,A-
1519,A+,B+,,C-,C-,A
1520,C-,A,,A-,A,A
1521,A-,A,,A,B,B
1522,B+,A,,A-,A,A-
1523,C,A,,B-,C+,A+
1524,B,C+,,B+,A-,B+
1525,A-,A,,A+,C-,B+
1526,A,A+,,E,E,C
1527,B+,C,,B,A-,A+
1528,B,B,,B,C+,A-
1529,A,A,,A,E,A-
1530,A-,B+,,A,B+,A+
1531,E,B+,,B,A,B+
1532,A-,C-,,B,B,A-
1533,B+,A-,,A,A+,A-
1534,B,B-,,A-,B,A
1535,A+,A,,B,B,B+
1536,A,B,,A,A-,A+
1537,B+,A-,,B,C+,A-
1538,C,A,,B,C,B+
1539,B+,A,,A-,A,A-
1540,B+,A,,A,A,B
1541,A,A-,,E,C-,B+
1542,A-,A-,,A,A,B+
1543,A,A,,A-,C,A
1544,A,B+,,B+,A,B+
1545,C-,A,,A,A-,B+
1546,A,A,,D,B,A
1547,A,A,,B-,B-,A-
1548,D-,A-,,A,A,B
1549,B+,A-,,C+,B,A
1550,B-,A,,A,A-,A-
1551,C,A-,,B-,B,A-
1552,A,B+,,C,C-,A-
1553,B+,A,,A-,A-,B+
1554,A+,A,,B+,C+,B+
1555,A,A,,A,B,A-
1556,B+,C+,,B-,A-,A
1557,A-,A,,B-,B-,B+
1558,B-,A-,,A-,C,A-
1559,C+,B,,A+,A,A
1560,B,A,,C,C,A
1561,A,A-,,B+,A+,A
1562,C+,A,,D,D,A
1563,B-,B+,,B+,B+,A+
1564,A-,A-,,D,B+,B+
1565,B,A,,B,A,A
1566,B+,A-,,B+,C+,A-
1567,A-,A+,,B+,B-,B+
1568,B+,A,,B,B,A-
1569,C,A,,A,B-,A
1570,A,A,,C,A,B
1571,A-,A,,A,A+,A+
1572,A,B+,,A-,A,A
1573,B+,A,,A+,E,A-
1574,A,A,,A-,A-,B
1575,A,A,,A-,B-,A-
1576,A-,A,,A,A,A
1577,A,A,,D-,A+,B+
1578,C-,B+,,A,B+,B
1579,D+,A-,,B,C+,B+
1580,B-,A+,,A,C-,B+
1581,C,A,,B+,B,A-
1582,B+,A,,A+,B-,A+
1583,A-,A-,,D,A,A
1584,B+,A,,B-,E,A-
1585,B+,A,,A,D+,A-
1586,B+,A+,,B+,C-,B
1587,A+,A,,B+,B+,A-
1588,A-,B+,,B,C+,B+
1589,A-,B+,,C+,A,A-
1590,A,A-,,A-,A,A
1591,B-,B+,,A+,B,B-
1592,A,A-,,A,B+,A
1593,A+,A,,A-,A,A
1594,B,C+,,B,C,A+
1595,D,A,,E,B+,B
1596,B,A,,B,C,A-
1597,B,A-,,A-,B-,A
1598,A,A-,,A+,A-,A-
1599,B-,B+,,B+,C-,B
1600,B,A-,,A-,E,A-
1601,B,A,,B-,B-,A+
1602,B,B+,,B+,C,A-
1603,B,B+,,B-,C-,A
1604,A,B+,,C,B,A+
1605,A+,A,,C+,A,A
1606,A-,A,,A-,A-,B
1607,A,A-,,B,A+,A+
1608,B,A,,C+,D-,B+
1609,C,B,,A,C+,A-
1610,C+,A,,A-,A-,A
1611,C-,A,,B,A-,A-
1612,B+,A,,C,B,A
1613,B-,C,,A-,B+,B+
1614,A-,A-,,C-,A-,A
1615,A,B+,,B,A-,A
1616,C+,B+,,B+,A+,B+
1617,B-,A-,,E,B+,B+
1618,B,B,,D,A,A+
1619,B+,B,,A-,B,B+
1620,B+,A,,A,C+,A-
1621,B-,B,,B-,B+,A-
1622,B-,A,,A-,C+,A-
1623,A-,A,,B-,E,A
1624,A-,B,,B+,B-,A-
1625,A-,A,,A-,B,B
1626,B-,A-,,A,A-,B
1627,A-,B+,,A-,A-,A+
1628,A,A,,D,A,A
1629,B-,A,,A+,A+,B+
1630,A,A-,,C+,C-,A
1631,A-,A-,,A,B-,A
1632,B,A-,,A-,B,A+
1633,A-,B+,,A,C+,B+
1634,A-,B+,,C-,D+,A
1635,B+,A,,C+,B-,A
1636,A,D,,C,B-,A-
1637,B,A,,A,B+,A
1638,A+,A,,B+,B+,B
1639,A,B+,,B,A-,A-
